sample_id,doc_id,chunk_id,section_title,source_text_snippet,subject,predicate,object,reason_for_novelty,legacy_reason,human_label
204|Description|language|English,,,,"SECTION_TITLE: Description
CONTENT:
• Provide a clear description of the product in its business context.
• Include notes on GoBD relevance if applicable.
• The description must be written in English.",Description,language,English,unknown_relation,unknown_relation,
70|manager|receives|To-Do_to_assign_new_Responsible_person,,,,"SECTION_TITLE: General Modeling Rules
CONTENT:
Automated Quality Checks LeanIX includes automated processes to ensure data quality. These processes include: 1. Inactive Responsible Person If a Responsible person is no longer active in the company or subsidiary (e.g., due to departure), the system checks for other Responsible persons: o If none exist, the direct manager of the former Responsible is identified and automatically assigned as the new Responsible. o The manager also receives a To-Do t",manager,receives,To-Do_to_assign_new_Responsible_person,unknown_relation,unknown_relation,
245|IT_Products|provide|Interfaces,,,,"SECTION_TITLE: Modeling Implications in LeanIX
CONTENT:
• Interfaces are central integration points that connect strategic initiatives and operational systems.
• Initiatives may depend on the availability or design of specific interfaces to achieve business goals.
• IT Products consume or provide interfaces, which must be modeled to reflect technical dependencies.
• The diagram supports cross-layer traceability from strategy to execution in LeanIX.",IT_Products,provide,Interfaces,unknown_relation,unknown_relation,
23|Application_Architecture|includes|Digital_Solution,,,,"SECTION_TITLE: Information Systems Architecture (TOGAF® C)
CONTENT:
Application Architecture • Digital Solution (Color: Red) • IT Product (Color: Dark Red) • Interface (Color: Yellow) Information/Data Architecture • Information Object (Color: Purple) Represents the implementation of business capabilities through applications and data structures.",Application_Architecture,includes,Digital_Solution,unknown_relation,unknown_relation,
36|IT_Component|usageContext|Used within technical platforms or directly in IT products,,,,"SECTION_TITLE: Purpose and benefits
CONTENT:
[
{""field"": ""Entity"", ""content"": ""IT Component""},
{""field"": ""Definition"", ""content"": ""Atechnical building block of an IT product, independent of business logic, sourced from vendors or developed in-house.""},
{""field"": ""Purpose"", ""content"": ""Enables organizations to run, maintain, and change IT products.""},
{""field"": ""Usage Context"", ""content"": ""Used within technical platforms or directly in IT products.""},
{""field"": ""Key Benefits"", ""content"": ""Lifecyc",IT_Component,usageContext,Used within technical platforms or directly in IT products,unknown_relation,unknown_relation,
397|core_function_or_purpose_of_technology|examples|operating_system,,,,"SECTION_TITLE: Definition: Tech Capability
CONTENT:
A Technical Capability represents a functional classification of IT components based on what the technology enables. It describes the core function or purpose of a technology, such as a database, operating system, or server software. Unlike rapidly evolving technologies, the technical capability model remains relatively stable over time and is industry-agnostic.",core_function_or_purpose_of_technology,examples,operating_system,unknown_relation,unknown_relation,
40|strategic_architecture_management|enabledBy|transparency_in_technical_landscape,,,,"SECTION_TITLE: Purpose and benefits
CONTENT:
IT components are essential to run, maintain, and change IT products. They may be: • Encapsulated within technical platforms, or • Directly integrated into the IT product. The use of IT components supports strategic architecture management by enabling: • Lifecycle planning of technical assets • Clear documentation of ownership, responsibilities, and competencies • Transparency in the technical landscape • Identification of redundancies (overengineerin",strategic_architecture_management,enabledBy,transparency_in_technical_landscape,unknown_relation,unknown_relation,
233|Zollabfertigung|consumesAPI|German_Customs_Authority_REST_API,,,,"SECTION_TITLE: Interfaces to External Systems
CONTENT:
Customs Integration: o Scenario: The IT Product Zollabfertigung (Customs Clearance) consumes a REST API provided by the German Customs Authority. o Interface Name: External: Zollbehörde REST o Consumer: Zollabfertigung o Responsible Person: Defined on the Zollabfertigung Fact Sheet 2. Credit Check Integration: o Scenario: The IT Product Kreditprüfung (Credit Check) uses a SOAP interface from SCHUFA. o Interface Name: External: SCHUFA SOAP o ",Zollabfertigung,consumesAPI,German_Customs_Authority_REST_API,unknown_relation,unknown_relation,
27|Modeling_Subpage|explains|how_object_should_be_modeled,,,,"SECTION_TITLE: Architectural Objects and Attributes
CONTENT:
• Purpose and Benefit: Describes the role and value of the object in architecture modeling. Attributes Subpage Details the attributes of the object, aligned with the corresponding Fact Sheet. Modeling Subpage Explains how the object should be modeled, where modeling takes place, and which roles are responsible. It includes Porsche-specific modeling guidelines and links to LeanIX standard modeling practices.",Modeling_Subpage,explains,how_object_should_be_modeled,unknown_relation,unknown_relation,
373|Initiative|color|green,,,,"SECTION_TITLE: Governance and Ownership
CONTENT:
• There is no central authority for managing Objectives.
• Responsibility for creation, maintenance, and usage lies with the creator and user.
• For guidance, contact the Enterprise Architects of the respective portfolio or the Chief Architects.
1. Objective (pink) – Represents a strategic goal.
2. Initiative (green) – A time-bound effort to implement a goal.
3. Organization (yellow) – An organizational unit responsible for the objective.",Initiative,color,green,unknown_relation,unknown_relation,
