pred_id,line_idx,doc_id,chunk_id,subject,predicate,object,alignable,matched,gold_subject,gold_predicate,gold_object,overall_score,subject_score,relation_score,object_score,reason_for_novelty,legacy_reason
0,0,,,Business_Capability,defines,what_an_organization_must_be_able_to_do_to_fulfill_its_mission_and_deliver_value,False,False,,,,,,,,entity_mismatch,known_relation_but_subject_and_object_not_allowed
1,0,,,Business_Capability,defines,stable_organization-wide_function,False,False,,,,,,,,entity_mismatch,known_relation_but_subject_and_object_not_allowed
2,0,,,Business_Capability,independentOf,specific_processes,False,False,,,,,,,,unknown_relation,unknown_relation
3,0,,,Business_Capability,independentOf,systems,False,False,,,,,,,,unknown_relation,unknown_relation
4,0,,,Business_Capability,independentOf,organizational_structures,False,False,,,,,,,,unknown_relation,unknown_relation
5,0,,,Enterprise_architects,use,Business_Capability,False,False,,,,,,,,unknown_relation,unknown_relation
6,0,,,Business_Capability,captures,cross-functional_needs_across_business_units,False,False,,,,,,,,unknown_relation,unknown_relation
7,0,,,Business_Capability,provides,common_language_for_strategic_planning_and_transformation,False,False,,,,,,,,entity_mismatch,known_relation_but_subject_and_object_not_allowed
8,1,,,Business_Capability,identifies,technologies_and_resources_required_to_support_capabilities,False,False,,,,,,,,unknown_relation,unknown_relation
9,1,,,Business_Capability,forms,foundational_layer_in_enterprise_architecture,False,False,,,,,,,,unknown_relation,unknown_relation
10,1,,,Business_Capability,enables,alignment_between_business_strategy_and_IT_execution,False,False,,,,,,,,unknown_relation,unknown_relation
11,2,,,Structure_Summary,hasElement,Entity_Type,False,False,,,,,,,,unknown_relation,unknown_relation
12,2,,,Entity_Type,type,Business_Capability,False,False,,,,,,,,unknown_relation,unknown_relation
13,2,,,Structure_Summary,hasElement,Core_Purpose,False,False,,,,,,,,unknown_relation,unknown_relation
14,2,,,Core_Purpose,description,Describes_what_the_organization_must_be_able_to_do,False,False,,,,,,,,unknown_relation,unknown_relation
15,2,,,Structure_Summary,hasElement,Characteristics,False,False,,,,,,,,unknown_relation,unknown_relation
16,2,,,Characteristics,description,"Stable,_cross-functional,_independent_of_processes_or_systems",False,False,,,,,,,,unknown_relation,unknown_relation
17,2,,,Structure_Summary,hasElement,Usage_Context,False,False,,,,,,,,unknown_relation,unknown_relation
18,2,,,Usage_Context,description,"Strategic_planning,_capability_mapping,_IT_alignment",False,False,,,,,,,,unknown_relation,unknown_relation
19,2,,,Structure_Summary,hasElement,Stakeholders,False,False,,,,,,,,unknown_relation,unknown_relation
20,2,,,Stakeholders,description,"Enterprise_Architects,_Business_Analysts,_Portfolio_Managers",False,False,,,,,,,,unknown_relation,unknown_relation
21,3,,,Business_capabilities,usedFor,determine_software_classification,False,False,,,,,,,,unknown_relation,unknown_relation
22,3,,,Business_capabilities,role,Application_Classification,False,False,,,,,,,,unknown_relation,unknown_relation
23,3,,,software-based_system,type,business_application,False,False,,,,,,,,unknown_relation,unknown_relation
24,3,,,software-based_system,type,technical_component,False,False,,,,,,,,unknown_relation,unknown_relation
25,3,,,classification,importance,maintain_consistent_business-aligned_IT_landscape,False,False,,,,,,,,unknown_relation,unknown_relation
26,3,,,capability_map,status,complete_and_validated,False,False,,,,,,,,unknown_relation,unknown_relation
27,3,,,capability_map,importance,analyze_IT_landscape_from_business_perspective,False,False,,,,,,,,unknown_relation,unknown_relation
