sample_id,doc_id,chunk_id,section_title,source_text_snippet,subject,predicate,object,reason_for_novelty,legacy_reason,human_label
160|Category|includes|Software,,,,"SECTION_TITLE: Structure Summary
CONTENT:
[
{""field"": ""Name"", ""description"": ""Component name"", ""required"": """", ""controlled_vocabulary"": ""—"", ""notes"": ""—""},
{""field"": ""Category"", ""description"": ""Type of component"", ""required"": """", ""controlled_vocabulary"": ""Hardware, IaaS, PaaS, SaaS, Service, Software"", ""notes"": ""—""},
{""field"": ""Version"", ""description"": ""Major version only"", ""required"": """", ""controlled_vocabulary"": ""Format: X.x"", ""notes"": ""Minor/patch optional only if significant""},
{""field"": ""De",Category,includes,Software,unknown_relation,unknown_relation,
57|Initiative|hasCharacteristic|Timeline,,,,"SECTION_TITLE: Responsible / Subscriptions
CONTENT:
[
{""section"": ""Impact Analysis"", ""key_concept"": ""Initiative → Architecture Elements"", ""description"": ""Shows impact on capabilities, systems, and organizational units""},
{""section"": ""Strategic Alignment"", ""key_concept"": ""Initiative → Objective"", ""description"": ""Links execution to strategic goals""},
{""section"": ""Operational Metadata"", ""key_concept"": ""Initiative → Budget, Timeline, Roles"", ""description"": ""Surfaces key planning and governance data""",Initiative,hasCharacteristic,Timeline,unknown_relation,unknown_relation,
217|Technical_Architecture|describes|Platform,,,,"SECTION_TITLE: TOGAF® Alignment
CONTENT:
[
{""togaf_layer"": ""A. Architecture Vision"", ""description"": ""High-level strategic alignment of the IT Product with business goals.""},
{""togaf_layer"": ""B. Business Architecture"", ""description"": ""Captures the business processes and capabilities supported by the IT Product.""},
{""togaf_layer"": ""C. Technical Architecture"", ""description"": ""Describes the technical components and platforms required by the IT Product.""}
]",Technical_Architecture,describes,Platform,unknown_relation,unknown_relation,
19|Infrastructure|usedFor|Integration,,,,"SECTION_TITLE: Together, the Business Architecture and Information Systems Architecture form
CONTENT:
the Business Architecture domain. Technology Architecture This layer supports the technical realization of applications. Applications from the Application Architecture require infrastructure for procurement, integration, and operation. Relevant objects include: • IT Product (Platform) • IT Component • Vendor • Tech Capability LLM-Ready Structure Summary Image Description: TOGAF-Based Architectur",Infrastructure,usedFor,Integration,unknown_relation,unknown_relation,
32|Documentation_Structure|includes|Page,,,,"SECTION_TITLE: Documentation Structure
CONTENT:
[
{""page_type"": ""Main Page"", ""content"": ""Definition, Purpose and Benefit""},
{""page_type"": ""Attributes Page"", ""content"": ""Detailed list of attributes per object""},
{""page_type"": ""Modeling Page"", ""content"": ""Modeling logic, responsibilities, Porsche-specific guidelines, LeanIX links""}
]",Documentation_Structure,includes,Page,unknown_relation,unknown_relation,
332|Assignment|madeAt|Lowest_Meaningful_Level,,,,"SECTION_TITLE: System Assignment Principles
CONTENT:
Systems (e.g. IT products) must be assigned only at the initiative level, not redundantly at the objective level: • This avoids data duplication and reduces maintenance complexity. • Assignments should be made at the lowest meaningful level, typically the IT product. Best Practice: Avoid assigning the same system to both the Initiative and the Objective.",Assignment,madeAt,Lowest_Meaningful_Level,unknown_relation,unknown_relation,
38|IT_Component|hasCategory|Monitoring_Tool,,,,"SECTION_TITLE: Purpose and benefits
CONTENT:
[
{""field"": ""Section Title"", ""content"": ""Examples of IT Components""},
{""field"": ""Section Type"", ""content"": ""Informative / Reference""},
{""field"": ""Purpose"", ""content"": ""To provide categorized, real-world examples of IT components for better understanding and documentation.""},
{""field"": ""Target Audience"", ""content"": ""Enterprise Architects, Business Analysts, Business Stakeholders""},
{""field"": ""Context"", ""content"": ""Supplementary material to the definiti",IT_Component,hasCategory,Monitoring_Tool,unknown_relation,unknown_relation,
201|IT_Product|hasAttribute|Version,,,,"SECTION_TITLE: Specific Modelling Rules and Best Practices
CONTENT:
Important: No two IT Products in LeanIX can have the same name and version. If a name conflict occurs: • Check if a new version should be created. • Otherwise, assign a new, unique name. Versioning • Versioning is managed via the ""Release"" attribute.",IT_Product,hasAttribute,Version,unknown_relation,unknown_relation,
381|Objective_Fact_Sheet|hasAspect|Technical_Aspect,,,,"SECTION_TITLE: Responsible / Subscriptions
CONTENT:
Each Objective Fact Sheet requires a person in the subscriptions who is responsible for the content and quality of the data. Currently, this person can have the role of Product Owner or Business Owner. The assignment of type, person and role is done via the subscriptions in the respective fact sheet. The owner organization and the assigned person are solely responsible for the creation and maintenance of an objective fact sheet in terms of both",Objective_Fact_Sheet,hasAspect,Technical_Aspect,unknown_relation,unknown_relation,
24|Technology_Architecture|describes|Technology_Component,,,,"SECTION_TITLE: Technology Architecture (TOGAF® D)
CONTENT:
• IT Component (Color: Dark Blue) • Vendor (Color: Teal) • Tech Capability (Color: Light Green) Describes the technical infrastructure and supporting technology components.",Technology_Architecture,describes,Technology_Component,unknown_relation,unknown_relation,
